km,price
1000,4951.108168467666
2000,1362.4575694019172
3000,5246.972249101566
4000,5520.4604198820525
5000,10426.484224970573
6000,5215.278070437755
7000,6303.094684667225
8000,5730.576460589514
9000,3562.643924760936
10000,8285.645629030041
11000,7603.866065373548
12000,7782.063894086094
13000,4481.225090410522
14000,9205.588621872199
15000,3696.2978744154384
16000,7773.714187600541
17000,11080.911251619957
18000,4818.927349738623
19000,5767.404540794456
20000,7199.302730175283
21000,6093.048691767602
22000,4098.673137867734
23000,7437.125949612055
24000,5275.39257254779
25000,8447.184861270363
26000,5761.151531532394
27000,10799.86881003508
28000,6233.493415327526
29000,7255.876967588649
30000,9627.03443473934
31000,5638.271367132089
32000,8654.91986920826
33000,10914.285508564855
34000,5185.033530877545
35000,8869.26771706461
36000,9119.765588496846
37000,10263.645743554622
38000,6326.0985782438365
39000,6259.086773831447
40000,10043.883131233795
41000,9693.969346466372
42000,9700.985700691754
43000,9992.89641899395
44000,8039.950556843019
45000,9964.507394322007
46000,10186.144946597362
47000,8271.297163947263
48000,13531.549022289513
49000,10847.665841823575
50000,7617.393005594702
51000,11413.10721726766
52000,8250.636659545356
53000,11874.169207484903
54000,12717.191158014808
55000,8858.635363296578
56000,12526.752258488643
57000,11525.561853872996
58000,12444.12031998898
59000,14693.585965307895
60000,10509.22376799426
61000,9592.527671285021
62000,9420.971140748954
63000,9668.379430069122
64000,11245.796581171791
65000,12182.303949633288
66000,12153.381598660038
67000,13354.366498072048
68000,11826.003783755814
69000,14807.068154314635
70000,11470.686333524089
71000,17540.338333179236
72000,13451.334695530013
73000,10585.684887167436
74000,10258.215003877776
75000,13464.94483048637
76000,12153.074429348299
77000,14128.000988184183
78000,13746.47524914709
79000,12754.342174686255
80000,11306.41256386319
81000,10070.30555062827
82000,12306.970095865958
83000,15012.797588646945
84000,13828.187488260408
85000,11008.522442576024
86000,13946.361851702364
87000,14470.634759457673
88000,12032.285127597734
89000,14207.450211891055
90000,14116.417436892
91000,11814.059404338754
92000,14915.574720696566
93000,15421.56905273647
94000,16566.102486350555
95000,16607.604104069807
96000,11844.661264085818
97000,12824.349920169754
98000,15830.07053441732
99000,15927.571901824418
